法人名称,法人番号,主たる事務所の所在地,代表者,有効期限
特定非営利活動法人カンボジアの健康及び教育と地域を支援する会,法人番号8011105001916,東京都新宿区四谷4丁目3番29号伸治ビル,永井　厚,平成21年8月1日から平成28年1月15日まで,
特定非営利活動法人北朝鮮難民救援基金,法人番号8010005006612,東京都文京区西片2丁目2番8号西片ハイテルA-101,加藤　博,平成23年1月16日から平成28年1月15日まで,
特定非営利活動法人ラブアンドハーモニー基金,法人番号3010405003156,東京都港区西麻布1丁目3番18号,平尾　昌晃,平成23年1月16日から平成28年1月15日まで,
特定非営利活動法人あいち骨髄バンクを支援する会,法人番号2180005006337,愛知県名古屋市千種区光が丘1丁目22番7-105号,森島　泰雄,平成23年2月16日から平成28年2月15日まで,
特定非営利活動法人消費者機構日本,法人番号9010005008351,東京都千代田区六番町15番地,芳賀　唯史,平成23年2月16日から平成28年2月15日まで,
特定非営利活動法人日本医療政策機構,法人番号4010005009370,東京都千代田区永田町1丁目11番28号相互永田町ビル,黒川　清,平成23年2月16日から平成28年2月15日まで,
認定特定非営利活動法人岡山きのこ・あったか会,法人番号9260005003022,岡山県岡山市中区門田屋敷1丁目3番21号,黒田　重利佐々木　健金光　義弘阿多　敏江,平成23年3月1日から平成28年2月29日まで,
特定非営利活動法人北の森と川・環境ネットワーク,法人番号4440005001251,北海道函館市五稜郭町19番15号,影山　欣一,平成23年3月1日から平成28年2月29日まで,
特定非営利活動法人在日ブラジル人を支援する会（サビジャ）,法人番号6010405003632,東京都港区北青山2丁目7番30号401号室,茂木　信二,平成23年3月1日から平成28年2月29日まで,
特定非営利活動法人市民ファンドゆめの芽,法人番号2021005002985,神奈川県相模原市中央区富士見6丁目6番1号,長谷川　太一,平成23年3月1日から平成28年2月29日まで,
NPO法人ピーク・エイド,法人番号8010005018418,東京都渋谷区千駄ヶ谷5丁目12番8号第6瑞穂ビル401,野口　健,平成23年3月1日から平成28年2月29日まで,
特定非営利活動法人チャイルドライン支援センター,法人番号1011105003530,東京都新宿区住吉町8番5号曙橋コーポ2階,太田　久美神　仁,平成21年4月1日から平成28年3月31日まで,
特定非営利活動法人江戸城天守を再建する会,法人番号5011605001419,東京都千代田区神田神保町2丁目32番地前川ビル,小竹　直隆,平成23年4月16日から平成28年4月15日まで,
特定非営利活動法人きらめき未来塾,法人番号9120005011996,大阪府大阪市北区東天満1丁目12番13号,水野　彌一,平成23年4月16日から平成28年4月15日まで,
特定非営利活動法人子ども・宇宙・未来の会,法人番号3021005003314,神奈川県相模原市緑区下九沢1576番地11,平林　久,平成23年4月16日から平成28年4月15日まで,
特定非営利活動法人スペシャルオリンピックス日本・神奈川,法人番号7020005004806,神奈川県横浜市中区常磐町1丁目7番地横浜YMCA4階,剱持　睦子,平成23年4月16日から平成28年4月15日まで,
特定非営利活動法人地域産業おこしの会,法人番号4010005012928,東京都千代田区神田錦町3丁目21号ちよだプラットフォームスクウェア1066,会田　和子,平成23年4月16日から平成28年4月15日まで,
特定非営利活動法人日本エステティック機構,法人番号3010005011492,東京都千代田区平河町1丁目6番15号,福士　政広,平成23年4月16日から平成28年4月15日まで,
特定非営利活動法人メッシュ・サポート,法人番号7360005003534,沖縄県名護市字宇茂佐1712番地の3社団法人北部地区医師会病院内,小濱　正博,平成23年4月16日から平成28年4月15日まで,
特定非営利活動法人日本チェルノブイリ連帯基金,法人番号1100005007005,長野県松本市浅間温泉2丁目12番12号,鎌田　實,平成21年9月1日から平成28年4月30日まで,
特定非営利活動法人乳房健康研究会,法人番号7020005008385,神奈川県川崎市麻生区万福寺6丁目7番2号,福田　護,平成23年5月1日から平成28年4月30日まで,
特定非営利活動法人ロージーベル,,宮城県仙台市青葉区本町1丁目9番5号五城ビル502,佐竹　えり子,平成23年5月1日から平成28年4月30日まで,
特定非営利活動法人ワンデーポート,,神奈川県横浜市瀬谷区相沢4丁目10番地1,稲村　厚,平成23年5月1日から平成28年4月30日まで,
特定非営利活動法人いばらき子どもの虐待防止ネットワークあい,法人番号1050005004809,茨城県水戸市大塚町1866番地102号,坂本　博之,平成23年6月1日から平成28年5月31日まで,
特定非営利活動法人オレンジティ,法人番号9080105003964,静岡県熱海市西熱海町2丁目17番49号,河村　裕美,平成23年6月1日から平成28年5月31日まで,
特定非営利活動法人カルチャーナイト北海道,法人番号8430005004499,北海道札幌市中央区北四条西7丁目5番地緑苑第2ビル707号室,山本　強,平成23年6月1日から平成28年5月31日まで,
特定非営利活動法人樹恩ネットワーク,法人番号5011305000530,東京都杉並区和田3丁目30番22号,生源寺　眞一,平成23年6月1日から平成28年5月31日まで,
特定非営利活動法人多文化共生センター東京,法人番号5011505001163,東京都荒川区西尾久6丁目9番7号3階,枦木　典子,平成23年6月1日から平成28年5月31日まで,
特定非営利活動法人サイエンス・アクセシビリティ・ネット,,福岡県福岡市早良区百道浜3丁目4番11‐103号,鈴木　昌和,平成23年6月1日から平成28年5月31日まで,
特定非営利活動法人全国就労支援事業者機構,,東京都渋谷区千駄ヶ谷5丁目10番9号,奥田　碩,平成23年6月1日から平成28年5月31日まで,
特定非営利活動法人オックスファム・ジャパン,法人番号8010505001328,東京都台東区上野5丁目3番4号,浪瀬　佳子,平成23年6月16日から平成28年6月15日まで,
特定非営利活動法人日本エヌピーオーセンター,法人番号2010005005842,東京都千代田区大手町2丁目2番1号新大手町ビル245,早瀬　昇,平成23年6月16日から平成28年6月15日まで,
特定非営利活動法人ムラのミライ,法人番号9200005009702,岐阜県高山市千島町900番地1,中田　豊一,平成23年6月16日から平成28年6月15日まで,
特定非営利活動法人ACT,法人番号4100005007464,長野県北安曇郡白馬村大字北城2809番地1,元村　幸時,平成23年7月1日から平成28年6月30日まで,
特定非営利活動法人スマイルオブキッズ,法人番号1020005005520,神奈川県横浜市南区六ツ川4丁目1124番地2,田川　尚登,平成23年7月1日から平成28年6月30日まで,
特定非営利活動法人東京多摩いのちの電話,法人番号1012405002016,東京都国分寺市本町1丁目6番2号,清水　康雄,平成23年7月1日から平成28年6月30日まで,
特定非営利活動法人日韓アジア基金・日本,法人番号5010005008405,東京都文京区本駒込2丁目12番13号アジア文化会館内,江本　哲也,平成23年7月1日から平成28年6月30日まで,
特定非営利活動法人日本視覚障害者セーリング協会,法人番号4010405008286,東京都大田区西六郷3丁目29番3号,金輪　孝幸,平成23年7月1日から平成28年6月30日まで,
特定非営利活動法人福山シンフォニーオーケストラ,法人番号2240005009977,広島県福山市曙町1丁目16番8号,松岡　巖,平成23年7月1日から平成28年6月30日まで,
特定非営利活動法人ESAアジア教育支援の会,,東京都狛江市東和泉1丁目23番3号101,淺田　美知子,平成21年9月1日から平成28年6月30日まで,
特定非営利活動法人アイキャン,法人番号6180005005310,愛知県名古屋市中区大須3丁目5番4号,田口　京子,平成21年9月1日から平成28年7月31日まで,
特定非営利活動法人礎の石孤児院,法人番号5010705000776,東京都品川区西五反田1丁目14番1号,北野　直人,平成23年8月1日から平成28年7月31日まで,
特定非営利活動法人シャプラニール市民による海外協力の会,法人番号3011105001755,東京都新宿区西早稲田2丁目3番1号,岩城　幸男,平成21年9月1日から平成28年7月31日まで,
特定非営利活動法人腎臓病早期発見推進機構,法人番号2011105004098,東京都千代田区九段南4丁目6番9号,高橋　進,平成21年9月1日から平成28年7月31日まで,
特定非営利活動法人猫達の幸せを守る会,法人番号1040005016004,千葉県安房郡鋸南町上佐久間2番地2,橋　章樹,平成23年8月1日から平成28年7月31日まで,
特定非営利活動法人富士山クラブ,法人番号8090005004492,山梨県南都留郡富士河口湖町西湖2870番地,奥島　孝康,平成23年8月1日から平成28年7月31日まで,
特定非営利活動法人ブリッジフォースマイル,法人番号2010005011493,東京都千代田区大手町2丁目6番4号,林　恵子,平成23年8月1日から平成28年7月31日まで,
特定非営利活動法人フレンズ・ウィズアウト・ア・ボーダーJAPAN,法人番号2013205001223,東京都中央区日本橋小伝馬町16－8共同ビル7F,赤尾　和美,平成23年8月1日から平成28年7月31日まで,
特定非営利活動法人ベトナム簿記普及推進協議会,法人番号7010005016091,東京都千代田区丸の内1丁目8番1号丸の内トラストタワーN館19階税理士法人山田アンドパートナーズ内,大武　健一郎,平成23年8月1日から平成28年7月31日まで,
認定特定非営利活動法人まちぽっと,法人番号4011105003692,東京都新宿区歌舞伎町2丁目19番13号ASKビル501号,佐々木　貴子,平成23年8月1日から平成28年7月31日まで,
特定非営利活動法人たんぽぽの会,,東京都目黒区碑文谷4丁目3番12号メイサウンド碑文谷102,倉橋　由紀子,平成23年8月1日から平成28年7月31日まで,
特定非営利活動法人日本ミャンマー豊友会,法人番号9180305004323,愛知県豊川市牛久保町城下73番地大木産業株式会社内,近藤　秀二,平成23年8月16日から平成28年8月15日まで,
特定非営利活動法人サバイバルネット・ライフ,法人番号6060005005396,栃木県小山市神鳥谷931番地3,仲村　久代,平成23年10月16日から平成28年10月15日まで,
特定非営利活動法人消費者支援ネット北海道,法人番号7430005005201,北海道札幌市中央区北4条西12丁目1番55,向田　直範,平成23年10月16日から平成28年10月15日まで,
特定非営利活動法人全国盲導犬施設連合会,法人番号5011105003832,東京都新宿区住吉町5番1号吉村ビル2階,井上　幸彦,平成23年10月16日から平成28年10月15日まで,
特定非営利活動法人産業クラスター研究会,法人番号9021005008258,神奈川県横須賀市光の丘8番3号YRPベンチャー棟209号,木下　武,平成23年11月16日から平成28年11月15日まで,
特定非営利活動法人ジャパンハート,法人番号4010505001991,東京都台東区台東1丁目33番6号セントオフィス秋葉原10階,吉岡　秀人,平成23年11月16日から平成28年11月15日まで,
特定非営利活動法人トラ・ゾウ保護基金,法人番号6010405008334,東京都港区虎ノ門2丁目5番4号末広ビル5階,李　久美,平成23年11月16日から平成28年11月15日まで,
特定非営利活動法人アトピッ子地球の子ネットワーク,法人番号1011105004000,東京都新宿区西早稲田1丁目9番19号207,吉澤　淳,平成23年12月1日から平成28年11月30日まで,
特定非営利活動法人京都藝際交流協会,法人番号3130005004880,京都府京都市上京区河原町通今出川下る梶井町448番地17河原町トウキュウビル1階,石田　淨,平成23年12月1日から平成28年11月30日まで,
特定非営利活動法人環境エネルギー政策研究所,法人番号4011205001290,東京都中野区中野4丁目7番3号,飯田　哲也,平成23年12月16日から平成28年12月15日まで,
特定非営利活動法人NPO会計税務専門家ネットワーク,,東京都文京区根津1丁目19番14‐201号,脇坂　誠也,平成23年12月16日から平成28年12月15日まで,
特定非営利活動法人ロシナンテス,法人番号6290805003650,福岡県北九州市小倉北区古船場町1番35号,川原　尚行,平成24年1月16日から平成29年1月15日まで,
特定非営利活動法人じゃっど,法人番号1340005003649,鹿児島県薩摩川内市神田町11番20号,帖佐　徹,平成24年2月16日から平成29年2月15日まで,
特定非営利活動法人ミュージック・シェアリング,法人番号2010005007021,東京都千代田区隼町2番12号708,五嶋　みどり,平成24年3月1日から平成29年2月28日まで,
特定非営利活動法人フリー・ザ・チルドレン・ジャパン,法人番号6010905002340,東京都世田谷区南烏山6丁目6番5号安藤ビル3F,中島　早苗,平成24年3月16日から平成29年3月15日まで,
特定非営利活動法人さなぎ達,法人番号7020005004021,神奈川県横浜市中区翁町1丁目6番地4新翁ビル1階,山中　修,平成24年4月1日から平成29年3月31日まで,
特定非営利活動法人侍学園スクオーラ・今人,法人番号9100005004754,長野県上田市本郷1524番地1,長岡　秀貴,平成24年4月1日から平成29年3月31日まで,
特定非営利活動法人国際協力エヌジーオーセンター,法人番号3011105002654,東京都新宿区西早稲田2-3-18,谷山　博史,平成24年5月1日から平成29年4月30日まで,
特定非営利活動法人市民のための健康・医療ネットワーク,法人番号4050005005234,茨城県つくば市倉掛720番地,松　靖司,平成24年5月1日から平成29年4月30日まで,
特定非営利活動法人セルフメディケーション推進協議会,法人番号3010405005400,東京都港区西新橋2丁目8番11号,池田　義雄,平成24年5月1日から平成29年4月30日まで,
特定非営利活動法人Hope and Faith International,法人番号7010905001928,東京都世田谷区玉川4丁目10番20号,福井　誠,平成24年5月16日から平成29年5月15日まで,
特定非営利活動法人たすけあいの会ふれあいネットまつど,法人番号6040005005381,千葉県松戸市東平賀7番地の2,島田　喜七,平成24年6月1日から平成29年5月31日まで,
特定非営利活動法人日本・ミャンマー医療人育成支援協会,法人番号1260005002898,岡山県岡山市番町2丁目6番7号,岡田　茂,平成24年6月1日から平成29年5月31日まで,
特定非営利活動法人北海道市民環境ネットワーク,法人番号8430005005084,北海道札幌市中央区南一条西5丁目8番地愛生舘ビル5階,秋山　孝二,平成24年6月1日から平成29年5月31日まで,
特定非営利活動法人日本アレルギー友の会,法人番号3010605001240,東京都江東区住吉2丁目6番5号,堀内　繁,平成24年6月1日から平成29年5月31日まで,
特定非営利活動法人あきたスギッチファンド,法人番号4410005001766,秋田県秋田市上北手荒巻字堺切24番地の2,菅原　展子,平成24年6月16日から平成29年6月15日まで,
特定非営利活動法人おやじ日本,法人番号6011005002719,東京都渋谷区宇田川町5番2号渋谷区役所神南分庁舎3階,竹花　豊,平成24年6月16日から平成29年6月15日まで,
特定非営利活動法人行徳野鳥観察舎友の会,法人番号3040005004295,千葉県市川市福栄4丁目27番2号原島方,鈴木　晃夫,平成24年6月16日から平成29年6月15日まで,
特定非営利活動法人NPO高知市民会議,法人番号2490005001331,高知県高知市福井扇町13番24号,内田　洋子,平成24年7月1日から平成29年6月30日まで,
特定非営利活動法人おかやま犯罪被害者サポート・ファミリーズ,法人番号2260005002922,岡山県岡山市北区富田町1丁目6番10号東光第一ビル2階,川　政宏,平成24年7月1日から平成29年6月30日まで,
特定非営利活動法人日本高血圧協会,法人番号3500005002590,大阪府大阪市淀川区西宮原1丁目8番29号,荒川　規矩男,平成24年7月1日から平成29年6月30日まで,
特定非営利活動法人ビッグイシュー基金,法人番号2120005011169,大阪府大阪市北区堂島2丁目3番2号,佐野　章二,平成24年7月1日から平成29年6月30日まで,
特定非営利活動法人市民セクターよこはま,法人番号9020005004572,神奈川県横浜市中区太田町4丁目49番地NGS横濱馬車道ビル802号,中野　しずよ,平成24年7月16日から平成29年7月15日まで,
特定非営利活動法人ストップ結核パートナーシップ日本,法人番号7010005013056,東京都千代田区三崎町1-3-12号結核予防会内,田中　慶司白須　紀子森　亨,平成24年7月16日から平成29年7月15日まで,
特定非営利活動法人Living in Peace,法人番号6010705001633,東京都中央区月島4丁目14番11号902,愼　泰俊,平成24年7月16日から平成29年7月15日まで,
特定非営利活動法人白馬の自然と花を育む会, ,長野県北安曇郡白馬村大字神城24211番地1,太田　敏彦,平成19年4月1日から平成26年3月31日まで,
清算結了年月日平成22年9月6日,特定非営利活動法人パッチワーク, ,石川県金沢市長田本町チ20番地3,虹釜　和昭,
平成19年7月1日から平成26年6月30日まで,清算結了年月日平成22年9月6日,特定非営利活動法人福岡犯罪被害者支援センター, ,福岡県福岡市博多区博多駅東2丁目8番11号,
内川　昭司,平成17年12月1日から平成26年11月30日まで,清算結了年月日平成24年8月8日,特定非営利活動法人スペシャルオリンピックス日本, ,
東京都港区西新橋2丁目22番1号西新橋2丁目森ビル7階,白木　福次郎,平成18年7月1日から平成27年6月30日まで,清算結了年月日平成24年8月20日,特定非営利活動法人あにまるネットワーク・ポニーズ,
法人番号4110005009633,新潟県上越市大字大日34番地5,早津　薫,平成24年4月16日から平成29年4月15日まで清算結了年月日平成28年6月29日,特定非営利活動法人アジア教育・文化・自然環境保護日本支援センター,
 ,東京都足立区栗原1丁目20番22号,プレーマダーサヘーゴダ,平成21年8月1日から平成23年6月27日まで,
